State Code,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ND,North Dakota,"674,715","685,225","701,176","722,036","737,401","754,066","754,434","754,942","758,080","762,062","779,563","777,982","778,912","783,926"
OH,Ohio,"11,539,336","11,544,663","11,548,923","11,576,684","11,602,700","11,617,527","11,634,370","11,659,650","11,676,341","11,689,100","11,798,292","11,765,227","11,759,697","11,785,935"
OK,Oklahoma,"3,759,944","3,788,379","3,818,814","3,853,214","3,878,187","3,909,500","3,926,331","3,931,316","3,940,235","3,956,971","3,965,234","3,991,634","4,019,271","4,053,824"
OR,Oregon,"3,837,491","3,872,036","3,899,001","3,922,468","3,963,244","4,015,792","4,089,976","4,143,625","4,181,886","4,217,737","4,245,044","4,256,465","4,239,379","4,233,358"
PA,Pennsylvania,"12,711,160","12,745,815","12,767,118","12,776,309","12,788,313","12,784,826","12,782,275","12,787,641","12,800,922","12,801,989","12,995,477","13,013,614","12,972,091","12,961,683"
RI,Rhode Island,"1,053,959","1,053,649","1,054,621","1,055,081","1,055,936","1,056,065","1,056,770","1,055,673","1,058,287","1,059,361","1,096,444","1,097,092","1,093,842","1,095,962"
SC,South Carolina,"4,635,649","4,671,994","4,717,354","4,764,080","4,823,617","4,891,938","4,957,968","5,021,268","5,084,156","5,148,714","5,132,151","5,193,848","5,282,955","5,373,555"
SD,South Dakota,"816,166","823,579","833,566","842,316","849,129","853,988","862,996","872,868","878,698","884,659","887,852","896,299","909,869","919,318"
TN,Tennessee,"6,355,311","6,399,291","6,453,898","6,494,340","6,541,223","6,591,170","6,646,010","6,708,799","6,771,631","6,829,174","6,926,091","6,963,709","7,048,976","7,126,489"
TX,Texas,"25,241,971","25,645,629","26,084,481","26,480,266","26,964,333","27,470,056","27,914,410","28,295,273","28,628,666","28,995,881","29,234,361","29,561,286","30,029,848","30,503,301"
UT,Utah,"2,775,332","2,814,384","2,853,375","2,897,640","2,936,879","2,981,835","3,041,868","3,101,042","3,153,550","3,205,958","3,283,982","3,339,284","3,381,236","3,417,734"
VT,Vermont,"625,879","627,049","626,090","626,210","625,214","625,216","623,657","624,344","624,358","623,989","642,936","647,093","647,110","647,464"
VA,Virginia,"8,023,699","8,101,155","8,185,080","8,252,427","8,310,993","8,361,808","8,410,106","8,463,587","8,501,286","8,535,519","8,637,193","8,657,348","8,679,099","8,715,698"
WA,Washington,"6,742,830","6,826,627","6,897,058","6,963,985","7,054,655","7,163,657","7,294,771","7,423,362","7,523,869","7,614,893","7,724,566","7,741,433","7,784,477","7,812,880"
WV,West Virginia,"1,854,239","1,856,301","1,856,872","1,853,914","1,849,489","1,842,050","1,831,023","1,817,004","1,804,291","1,792,147","1,791,562","1,785,249","1,774,035","1,770,071"
WI,Wisconsin,"5,690,475","5,705,288","5,719,960","5,736,754","5,751,525","5,760,940","5,772,628","5,790,186","5,807,406","5,822,434","5,896,700","5,879,978","5,890,543","5,910,955"
WY,Wyoming,"564,487","567,299","576,305","582,122","582,531","585,613","584,215","578,931","577,601","578,759","577,664","579,548","581,629","584,057"
